parameter,index,value
mu_max,1,0.936132021932492
kd,2,0.083859408589187
Y_XCom_SLNT,3,0.35411042210642
Y_XCom_S2FL,4,0.527647667785813
Y_XCom_3SL,5,50
Y_XCom_SLactose,6,0.603458192587607
Y_XCom_SGalactose,7,50
Y_XCom_SGlucose,8,22.8637552990947
Y_XCom_SNeu5Ac,9,49.9754105735899
Y_XCom_SFucose,10,50
k1,11,0.0001
k2,12,0.0387568037842875
k3,13,0.265924905344506
k4,14,0.0612477607142667
K_SLNT,15,50
K_S2FL,16,0.00263462005905101
K_S3SL,17,50
K_SLactose,18,1.41124995168232
K_SGalactose,19,12.0089248843775
K_SGlucose,20,18.6021006236492
K_SNeu5Ac,21,50
K_SFucose,22,1.16185559907235
